000000000,169119150,158112132,139084133
000000051,152081094,158109122,158075094
000000102,176117082,135096089,155095089
000000153,172094055,150044005,130068031
000000204,164013215,140040216,136020185
000000255,155016145,129000110,127252125
000051000,096091123,149071125,140069091
000051051,158089131,138028108,137058109
000051102,127047097,136052077,135022054
000051153,130027018,108247020,129027019
000051204,114249220,148020221,122223173
000051255,135236112,108194122,114214120
000102000,139016123,119248071,090220102
000102051,139011084,120245093,120244092
000102102,064184080,090208043,119230032
000102153,106235028,114213007,093213235
000102204,121205209,109167195,109186193
000102255,091141113,101150114,100145083
000153000,108171101,070154081,089150079
000153051,106165090,093127063,075146070
000153102,104135059,090137038,070108011
000153153,105138242,058121244,088119243
000153204,101104177,076097148,054097177
000153255,093053082,074065098,073059098
000204000,080049067,059035049,029004047
000204051,075014058,058029038,052028018
000204102,072035027,049001237,055255008
000204153,031233217,051007218,052007217
000204204,063001172,046214124,025244157
000204255,056210060,038217078,039218077
000255000,017143004,012161017,019172251
000255051,027170016,010156225,238128254
000255102,026164245,235121232,009152228
000255153,248139199,006141183,006143154
000255204,018139117,228126120,001127124
000255255,230106051,250106050,230076051
051000000,132129145,083073121,113097122
051000051,130118135,112075135,131119124
051000102,095086080,111087081,083052060
051000153,103081013,098064026,105043249
051000204,118049223,064011208,100033206
051000255,104241138,092250127,093242130
051051000,126094138,076038095,106068116
051051051,090068123,106063106,079036086
051051102,122076095,082024052,103045073
051051153,094051036,114051036,067255253
051051204,092228175,072253202,092253203
051051255,103236133,085216120,056188119
051102000,100015100,058243099,088249100
051102051,104011111,086245060,048221089
051102102,101224048,081232057,082232057
051102153,065236023,047160002,077204005
051102204,089204207,071176165,071162190
051102255,082136122,058147108,065147093
051153000,058150075,037118045,059152075
051153051,069134086,058144066,075134087
051153102,073155033,034135039,056142052
051153153,071138004,053118210,024120241
051153204,064112189,018065172,060112189
051153255,016063098,040061093,019034067
051204000,040044063,252029043,025028042
051204051,021041055,024025034,006252035
051204102,033032025,250018005,023016005
051204153,007018231,019005213,020004186
051204204,032254165,030000127,240211149
051204255,022199065,007216075,007215081
051255000,254171021,238166238,209129003
051255051,252141222,238158252,237157251
051255102,251163241,236152196,223142242
051255153,250136198,213140180,233140181
051255204,245138135,228125118,229097092
051255255,238117062,194077048,224106049
102000000,035069113,047094113,025067093
102000051,063118127,018079104,045092099
102000102,062104093,046059043,024079071
102000153,028029251,038056017,040021243
102000204,050049217,002252182,033025201
102000255,021234103,024241119,025239095
102051000,054082126,053052069,036051104
102051051,024049097,035046095,035031075
102051102,240063083,003011013,034034062
102051153,016042028,027017009,045013007
102051204,040005182,002244195,024245195
102051255,036207112,015185113,246207113
102102000,008229090,022241089,021236089
102102051,037003100,038232081,001225081
102102102,036227069,018219049,020196043
102102153,028224239,247203251,011196250
102102204,007175181,007177184,007147180
102102255,014161087,001142105,002142103
102153000,246155086,253144066,253114059
102153051,012159039,222139066,253147076
102153102,010150053,249100027,249129027
102153153,232130228,247114234,218113211
102153204,001100181,235076153,241089165
102153255,221045102,236059090,236037088
102204000,222027034,220250034,221028035
102204051,205037045,220020025,220248025
102204102,233027240,218247001,218020016
102204153,231016224,223000205,216227201
102204204,227251136,188236141,213237142
102204255,205211069,204211068,183181075
102255000,194164012,166166012,182153250
102255051,194163004,181152242,151151243
102255102,193157232,180146188,151146217
102255153,190119166,157135172,177136173
102255204,173121120,172120097,143092093
102255255,180112035,167072022,167101043
153000000,201080120,214074098,214046070
153000051,228103111,216043090,214076088
153000102,227062077,193065058,213065057
153000153,210038005,211043230,181044005
153000204,197006207,206014191,205012168
153000255,213252123,198231082,170224115
153051000,222048076,187055113,215069105
153051051,224038103,206040082,209012055
153051102,223023042,205029050,198030051
153051153,216024016,203235255,210008253
153051204,185229201,199235187,199215155
153051255,193197105,193169078,194198105
153102000,180225097,208228076,166200055
153102051,207215058,207246066,208217066
153102102,194211035,192213006,177190034
153102153,204186002,189188242,190195240
153102204,198181187,184146158,185167171
153102255,192151107,155132101,198151114
153153000,188154074,174133032,145135032
153153051,107120035,173129016,188149065
153153102,186104034,186139014,187120242
153153153,184122240,141075222,171105224
153153204,179083144,145078157,165080156
153153255,173046094,159050088,160029051
153204000,094036044,154255024,147017022
153204051,160007032,147013014,148250014
153204102,176037022,123011225,154013248
153204153,136250219,158255202,153001175
153204204,162251155,134221159,145000158
153204255,083153076,113206063,134206061
153255000,124166001,113150219,112120218
153255051,124160250,084118232,118161252
153255102,101123224,113140213,112141208
153255153,122142180,110132163,086124163
153255204,118128083,077096106,107116110
153255255,112094048,102098044,102099044
204000000,118087101,118064059,083059060
